Unnamed: 0, namsinh, gioitinh, noisinh, lopsh, khoa, hedt, khoahoc, chuyennganh2,dien_tt,diem_tt,dtbhk1,dtbhk2,dtbhk3,dtbhk4,dtbhk5,dtbhk6,dtbhk7,dtbhkh1,dtbhkh2,dtbhkh3,stchk1,stchk2,stchk3,stchk4,stchk5,stchk6,stchk7,stchkh1,stchkh2,stchkh3,sotc_tichluy,hoclaihk1,hoclaihk2,hoclaihk3,hoclaihk4,hoclaihk5,hoclaihk6,hoclaihk7,hoclaihkh1,hoclaihkh2,hoclaihkh3,AVHK1,AVHK2,AVHKH1,AVHK3,AVHK4,AVHKH2,AVHK5,AVHK6,AVHKH3,AVHK7,drlhk1,drlhk2,drlhk3,drlhk4,drlhk5,drlhk6,drlhk7, xeploai,cluster
333,1995.0,1.0,Lâm Đồng,KTPM0001,CNPM,0,8.0,D480103,0.0,30.0,0.7474226804123711,0.6388028895768835,0.7447698744769874,7.71,8.03,6.15,7.72,8.0,0.0,0.0,0.6666666666666666,0.0,0.0,22,21,25,19,15,15,10,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,3,4,4,4,4,4,4,4,89,86,62,84,77,77,58,1,2
221,1995.0,0.0,Quảng Bình,MMTT2013,MMT&TT,0,8.0,D480102,0.0,24.5,0.7680412371134021,0.8410732714138288,0.910041841004184,8.69,8.59,8.78,8.76,7.86,0.0,0.0,0.5833333333333333,0.0,0.0,22,20,25,15,15,18,15,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,3,4,4,4,4,4,4,4,100,86,100,79,86,78,78,2,2
2044,1999.0,1.0,Đắk Lắk,KTMT2017,KTMT,0,12.0,D520214,0.0,25.25,0.7278350515463917,0.7100103199174407,0.7656903765690376,8.02,7.75,7.91,8.02,0.0,8.3,0.0,0.0,0.3333333333333333,0.0,21,20,22,20,18,14,9,139.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,4,4,4,4,4,4,4,4,76,75,80,85,100,91,85,1,3
2088,1999.0,0.0,Long An,MMCL2017,MMT&TT,1,12.0,D480102,0.0,19.75,0.7113402061855671,0.6965944272445821,0.7186192468619247,6.45,6.88,7.12,7.36,0.0,5.6,0.0,0.0,0.3333333333333333,0.0,14,19,24,21,21,21,14,140.0,0.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2,2,2,2,3,3,3,3,3,3,73,68,85,90,72,86,84,0,3
543,1996.0,1.0,Bình Thuận,CNTT0001,KTTT,0,9.0,D480201,-1.0,-1.0,0.7216494845360826,0.6955624355005161,0.653765690376569,6.23,7.15,6.92,6.97,0.0,10.0,0.0,0.0,0.3333333333333333,0.0,17,21,20,24,24,19,17,139.0,0.0,0.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,3,3,3,3,3,4,4,4,85,82,71,75,66,67,80,0,3
1150,1997.0,1.0,Đồng Nai,CNTT2015,KTTT,0,10.0,D480201,-1.0,-1.0,0.829896907216495,0.6212590299277606,0.6182008368200836,6.96,6.16,7.4,7.6,0.0,6.6,0.0,0.0,0.3333333333333333,0.0,13,21,23,20,20,21,15,139.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,2,4,4,4,4,4,4,81,77,74,85,90,75,76,0,3
1830,1999.0,1.0,Nghệ An,KTMT2017,KTMT,0,12.0,D520214,0.0,25.5,0.7257731958762887,0.7801857585139319,0.7719665271966527,7.34,7.25,6.38,6.97,0.0,6.6,0.0,0.0,0.3333333333333333,0.0,17,24,21,21,20,18,7,146.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2,2,2,2,2,2,3,3,3,4,77,100,85,85,83,75,81,1,3
65,1995.0,1.0,An Giang,MMTT0001,MMT&TT,0,8.0,D480299,0.0,24.5,0.6206185567010309,0.3508771929824562,0.5930962343096234,6.04,7.69,6.68,6.69,0.0,6.66,7.2,0.0,0.5833333333333333,0.36363636363636365,22,21,29,23,20,14,22,149.0,3.0,19.0,10.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,2,2,2,2,2,2,2,2,2,4,64,72,84,66,85,66,64,1,4
69,1995.0,1.0,Quảng Ngãi,MMTT2013,MMT&TT,0,8.0,D480102,0.0,26.5,0.7237113402061855,0.3168214654282766,0.6370292887029289,6.46,7.53,8.54,8.38,0.0,8.59,8.9,0.0,0.5833333333333333,0.36363636363636365,22,21,22,26,26,21,15,151.0,0.0,21.0,3.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2,2,2,2,2,2,4,4,4,4,80,59,76,67,81,73,66,0,4
595,1996.0,1.0,Quảng Nam,KTMT0001,KTMT,0,9.0,D520214,-1.0,-1.0,0.6061855670103093,0.41898864809081526,0.6317991631799162,6.75,6.8,6.13,6.99,0.0,7.37,7.6,0.0,0.5833333333333333,0.36363636363636365,17,19,20,24,20,19,18,148.0,7.0,11.0,4.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,2,2,2,3,4,4,4,4,4,4,69,49,77,75,65,57,78,0,4
