, namsinh, gioitinh, noisinh, lopsh, khoa, hedt, khoahoc, chuyennganh2,dien_tt,diem_tt,lop12_matinh,lop12_matruong,dtbhk1,dtbhk2,dtbhk3,dtbhk4,dtbhk5,dtbhk6,dtbhk7,dtbhkh1,dtbhkh2,dtbhkh3,stchk1,stchk2,stchk3,stchk4,stchk5,stchk6,stchk7,stchkh1,stchkh2,stchkh3,sotc_tichluy,hoclaihk1,hoclaihk2,hoclaihk3,hoclaihk4,hoclaihk5,hoclaihk6,hoclaihk7,hoclaihkh1,hoclaihkh2,hoclaihkh3,AVHK1,AVHK2,AVHKH1,AVHK3,AVHK4,AVHKH2,AVHK5,AVHK6,AVHKH3,AVHK7,drlhk1,drlhk2,drlhk3,drlhk4,drlhk5,drlhk6,drlhk7, xeploai
14,1995.0,0.0,Hồ Chí Minh,KTPM0001,CNPM,0,8.0,D480103,0.0,29.5,49.0,11.0,6.59,7.36,7.17,7.17,6.07,6.81,6.69,6.5,0.0,0.0,3,0,0,22,18,21,19,15,19,16,155.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2,3,3,4,4,4,4,4,4,4,93,86,85,84,92,80,75,1
15,1995.0,1.0,Hồ Chí Minh,KTMT0001,KTMT,0,8.0,D520214,0.0,26.0,2.0,34.0,6.45,6.47,6.62,6.64,5.5,7.35,6.97,0.0,0.0,0.0,0,0,0,22,19,21,23,16,19,16,147.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,3,4,4,4,4,4,4,4,80,68,41,70,66,66,64,1
16,1995.0,1.0,Bình Thuận,CNTT0001,KTTT,0,8.0,D480201,0.0,24.0,47.0,6.0,6.25,5.26,7.15,6.49,6.96,7.14,7.74,0.0,0.0,0.0,0,0,0,22,21,20,24,14,14,25,142.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,3,4,4,4,4,4,4,4,88,76,94,73,82,71,71,0
17,1995.0,1.0,Hồ Chí Minh,KTMT0001,KTMT,0,8.0,D520214,0.0,24.5,2.0,17.0,5.23,6.25,5.8,6.16,6.44,5.58,6.18,4.4,6.33,6.3,10,9,4,22,22,22,18,21,17,16,159.0,11.0,4.0,6.0,1.0,0.0,1.0,0.0,10.0,0.0,0.0,2,3,3,4,4,4,4,4,4,4,84,81,31,72,73,75,76,0
18,1995.0,1.0,Trà Vinh,MMTT0001,MMT&TT,0,8.0,D480102,0.0,24.5,58.0,6.0,6.59,5.22,7.38,8.13,8.02,7.97,7.26,0.0,0.0,0.0,0,0,0,22,18,24,21,20,19,15,152.0,0.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2,3,3,4,4,4,4,4,4,4,88,65,90,68,72,80,64,0
19,1995.0,1.0,Quảng Ngãi,KTPM0001,CNPM,1,8.0,D480103,0.0,25.0,35.0,43.0,6.11,4.55,5.83,6.14,6.52,5.53,6.09,0.0,0.0,3.2,0,0,4,18,22,23,17,19,18,22,156.0,0.0,18.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,2,2,2,2,2,2,3,3,3,4,84,54,80,59,83,64,61,0
20,1995.0,1.0,Lâm Đồng,HTTT2013,HTTT,0,8.0,D480104,0.0,23.5,42.0,21.0,5.86,6.47,7.02,4.96,6.77,7.33,6.76,0.0,0.0,0.0,0,0,0,22,19,25,27,26,15,18,153.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2,3,3,4,4,4,4,4,4,4,64,77,48,53,54,32,60,0
21,1995.0,1.0,Lâm Đồng,MMTT0001,MMT&TT,0,8.0,D480299,0.0,29.0,42.0,8.0,6.23,7.69,7.58,7.06,8.13,7.97,8.25,0.0,0.0,8.3,0,0,3,22,21,24,17,18,14,15,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,3,4,4,4,4,4,4,4,87,86,87,91,88,78,68,1
22,1995.0,1.0,Quảng Ngãi,KHMT2013,KHMT,0,8.0,D480101,0.0,26.0,35.0,50.0,6.52,4.48,6.0,7.25,8.08,7.88,7.7,0.0,0.0,7.94,0,0,7,22,21,26,23,20,16,16,144.0,0.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,3,4,4,4,4,4,4,4,76,72,80,86,98,77,69,0
23,1995.0,1.0,Bến Tre,HTTT2013,HTTT,0,8.0,D480104,0.0,32.0,42.0,48.0,7.25,8.12,8.24,8.3,7.39,8.1,8.54,8.25,0.0,0.0,8,0,0,22,21,23,18,18,16,14,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,3,4,4,4,4,4,4,4,84,80,82,82,96,69,71,2
24,1995.0,1.0,Đồng Tháp,KTPM2013,CNPM,0,8.0,D480103,0.0,27.0,50.0,230.0,8.11,8.61,9.0,8.23,7.63,8.89,8.94,0.0,0.0,0.0,0,0,0,22,18,25,19,15,15,17,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,3,4,4,4,4,4,4,4,95,86,86,82,87,80,72,2
25,1995.0,1.0,Ninh Thuận,KHMT0001,KHMT,0,8.0,D480101,0.0,24.5,45.0,1.0,5.91,5.82,8.1,6.88,7.27,7.35,5.84,7.5,0.0,0.0,3,0,0,22,19,21,17,19,22,14,142.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,3,4,4,4,4,4,4,4,75,86,92,76,97,63,58,1
26,1995.0,1.0,Quảng Ngãi,ANTN2013,MMT&TT,2,8.0,D480299,0.0,30.5,35.0,32.0,7.95,8.29,8.53,8.71,7.21,8.75,8.82,0.0,0.0,8.8,0,0,3,22,21,18,18,18,14,15,149.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4,4,4,4,4,4,4,4,4,100,100,100,100,100,98,92,2
27,1995.0,1.0,Lâm Đồng,MMTT2013,MMT&TT,0,8.0,D480102,0.0,25.0,42.0,21.0,6.48,5.6,6.84,6.19,7.91,8.11,7.36,8.0,0.0,0.0,4,0,0,22,21,22,17,17,16,15,154.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,3,4,4,4,4,4,4,4,75,64,72,71,84,77,67,0
28,1995.0,1.0,Hồ Chí Minh,KHTN2013,KHMT,3,8.0,D480101,0.0,29.5,2.0,53.0,7.45,7.86,8.62,8.5,8.68,8.48,9.07,0.0,0.0,0.0,0,0,0,22,18,25,15,20,16,15,145.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,3,4,4,4,4,4,4,4,96,92,100,82,100,85,80,2
29,1995.0,1.0,Hồ Chí Minh,KTPM0001,CNPM,1,8.0,D480103,0.0,26.5,2.0,188.0,6.2,7.52,7.33,6.96,7.64,8.14,7.13,0.0,0.0,0.0,0,0,0,22,22,23,22,18,19,15,160.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,3,4,4,4,4,4,4,4,79,74,59,74,82,74,75,1
30,1995.0,1.0,Thừa Thiên Huế,ANTN2013,MMT&TT,2,8.0,D480299,0.0,34.0,33.0,1.0,8.34,8.36,8.35,8.28,8.48,7.86,7.87,0.0,0.0,8.5,0,0,3,22,21,18,18,18,14,15,149.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4,4,4,4,4,4,4,4,4,95,91,94,100,86,87,68,2
31,1995.0,1.0,Vĩnh Long,KTMT2013,KTMT,0,8.0,D520214,0.0,23.0,57.0,27.0,4.92,4.92,5.76,5.2,6.49,7.32,8.28,6.0,8.2,10.0,3,3,3,18,18,19,18,20,27,17,147.0,3.0,7.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,2,2,2,3,4,4,4,76,74,100,58,100,74,76,0
